city,investment
Bangalore,531015000
Mumbai,117745000
Hyderabad,750000
Ahmedabad,0
Gurgaon,168900000
Noida,300000
Pune,13450000
New Delhi,49065000
Chennai,0
Kolkata,0
Trivandrum,0
