city,investment
Bangalore,170760000
Mumbai,89800000
Hyderabad,500000
Ahmedabad,16000000
Gurgaon,484000
Noida,1000000
Pune,50600000
New Delhi,167800000
Chennai,14050000
Kolkata,0
Trivandrum,0
