city,investment
Bangalore,55210000
Mumbai,16394000
Hyderabad,0
Ahmedabad,0
Gurgaon,87740000
Noida,10218000
Pune,2100000
New Delhi,20695000
Chennai,61000000
Kolkata,0
Trivandrum,0
