city,investment
Bangalore,163134000
Mumbai,80890000
Hyderabad,500000
Ahmedabad,0
Gurgaon,31655000
Noida,10000000
Pune,0
New Delhi,2430000
Chennai,3500000
Kolkata,0
Trivandrum,0
