city,investment
Bangalore,1607223000
Mumbai,17346000
Hyderabad,1500000
Ahmedabad,0
Gurgaon,40000000
Noida,1400000
Pune,4000000
New Delhi,36050000
Chennai,250000
Kolkata,5000000
Trivandrum,0
