city,investment
Bangalore,878558000
Mumbai,347213000
Hyderabad,16000000
Ahmedabad,11320000
Gurgaon,146546000
Noida,20000000
Pune,4300000
New Delhi,60200000
Chennai,60000000
Kolkata,0
Trivandrum,0
