city,investment
Bangalore,49475000
Mumbai,136355000
Hyderabad,375000
Ahmedabad,0
Gurgaon,50000000
Noida,300000
Pune,445000
New Delhi,67714000
Chennai,33200000
Kolkata,0
Trivandrum,100000
