city,investment
Bangalore,172750000
Mumbai,65376000
Hyderabad,11197000
Ahmedabad,7800000
Gurgaon,22000000
Noida,6500000
Pune,311000
New Delhi,8650000
Chennai,0
Kolkata,0
Trivandrum,0
