city,investment
Bangalore,43490000
Mumbai,58750000
Hyderabad,23000000
Ahmedabad,0
Gurgaon,33500000
Noida,0
Pune,100000
New Delhi,26494000
Chennai,162000
Kolkata,0
Trivandrum,0
