city,investment
Bangalore,503610000
Mumbai,32825000
Hyderabad,3200000
Ahmedabad,0
Gurgaon,184030000
Noida,1700000
Pune,0
New Delhi,740255000
Chennai,0
Kolkata,0
Trivandrum,0
