city,investment
Bangalore,237053608
Mumbai,2308000
Hyderabad,3290000
Ahmedabad,0
Gurgaon,6730000
Noida,1500000
Pune,15150000
New Delhi,36280000
Chennai,6500000
Kolkata,150000
Trivandrum,0
