city,investment
Bangalore,120610000
Mumbai,235005000
Hyderabad,1000000
Ahmedabad,1000000
Gurgaon,314120000
Noida,2200000
Pune,150000
New Delhi,15735000
Chennai,3500000
Kolkata,0
Trivandrum,0
