city,investment
Bangalore,496850000
Mumbai,209200000
Hyderabad,1415000
Ahmedabad,0
Gurgaon,142200000
Noida,9000000
Pune,16350000
New Delhi,7920000
Chennai,78500000
Kolkata,165000
Trivandrum,0
