city,investment
Bangalore,34957500
Mumbai,40222500
Hyderabad,400000
Ahmedabad,73000
Gurgaon,16572500
Noida,250000
Pune,17731000
New Delhi,216232000
Chennai,0
Kolkata,0
Trivandrum,0
