city,investment
Bangalore,25645000
Mumbai,148445000
Hyderabad,0
Ahmedabad,250000
Gurgaon,20600000
Noida,15000000
Pune,2720000
New Delhi,18640000
Chennai,297000
Kolkata,0
Trivandrum,0
