city,investment
Bangalore,127750000
Mumbai,72189000
Hyderabad,15000000
Ahmedabad,1500000
Gurgaon,44819000
Noida,18300000
Pune,3025000
New Delhi,238004000
Chennai,1000000
Kolkata,0
Trivandrum,0
