city,investment
Bangalore,79855000
Mumbai,81774000
Hyderabad,10000000
Ahmedabad,10200000
Gurgaon,12250000
Noida,0
Pune,4000000
New Delhi,18163500
Chennai,35300000
Kolkata,0
Trivandrum,0
