city,investment
Bangalore,39450000
Mumbai,47650000
Hyderabad,200000
Ahmedabad,0
Gurgaon,31800000
Noida,1500000
Pune,150000
New Delhi,120040000
Chennai,450000
Kolkata,0
Trivandrum,0
