city,investment
Bangalore,1643298000
Mumbai,41410000
Hyderabad,4850000
Ahmedabad,6700000
Gurgaon,33150000
Noida,1000000
Pune,91000000
New Delhi,103573000
Chennai,9200000
Kolkata,100000
Trivandrum,0
