city,investment
Bangalore,64230000
Mumbai,47625000
Hyderabad,1448000
Ahmedabad,32300000
Gurgaon,9168000
Noida,0
Pune,24150000
New Delhi,18993000
Chennai,225000
Kolkata,50000
Trivandrum,0
