city,investment
Bangalore,92775000
Mumbai,64448000
Hyderabad,1600000
Ahmedabad,798000
Gurgaon,4015000
Noida,750000
Pune,54745000
New Delhi,7180000
Chennai,7350000
Kolkata,0
Trivandrum,0
