city,investment
Bangalore,53140000
Mumbai,66977000
Hyderabad,260000
Ahmedabad,500000
Gurgaon,22057000
Noida,50000
Pune,700000
New Delhi,11977000
Chennai,60000000
Kolkata,0
Trivandrum,0
