city,investment
Bangalore,65355000
Mumbai,15750000
Hyderabad,1900000
Ahmedabad,0
Gurgaon,111700000
Noida,1000000
Pune,2000000
New Delhi,22150000
Chennai,2100000
Kolkata,0
Trivandrum,0
