city,investment
Bangalore,75200000
Mumbai,75903000
Hyderabad,10600000
Ahmedabad,0
Gurgaon,63200000
Noida,0
Pune,30000000
New Delhi,39050000
Chennai,0
Kolkata,100000
Trivandrum,0
