city,investment
Bangalore,206600000
Mumbai,54245000
Hyderabad,600000
Ahmedabad,545000
Gurgaon,49940000
Noida,1770000
Pune,5560000
New Delhi,216706000
Chennai,26250000
Kolkata,1600000
Trivandrum,0
