city,investment
Bangalore,149250000
Mumbai,50200000
Hyderabad,9227000
Ahmedabad,1450000
Gurgaon,6600000
Noida,11000000
Pune,0
New Delhi,1650000
Chennai,3071000
Kolkata,0
Trivandrum,0
